fecha,precio,apertura,maximo,minimo,ratiocorriente,capitaltotal,rotacioncxc,rotacioninventario,rotacioncxp,deudaneta,retornoactivos,retornocapital,margenbeneficio,deudacapitalsocial,valorempresa,ratiopagodividendo,ratiocoberturadividendo,smavg,rsi,macd,sig,dif,oro,plata,cobre,divisa
2015-12-31 00:00:00,26.29,26.33,26.33,26.29,2.7,5299.2,10.21,3.46,4.94,5073.5,6.14,8.18,4.85,95.74,25922.27,51.45,1.94,2222.29,52.64,-0.2,-0.4,0.2,1061.1,13.8482,2.135,3.4145
2016-01-01 00:00:00,26.19,26.24,26.24,26.19,2.7,5300.4,10.2,3.46,4.94,5075.92,6.13,8.17,4.96,95.76,25922.27,51.03,2.01,2226.43,51.88,-0.19,-0.39,0.2,1064.4775,13.815,2.1211,3.4095
2016-01-02 00:00:00,26.09,26.15,26.15,26.09,2.7,5301.6,10.2,3.46,4.95,5078.34,6.12,8.16,5.07,95.79,25922.27,50.6,2.08,2230.57,51.13,-0.19,-0.38,0.19,1067.855,13.8345,2.1072,3.4109
2016-01-03 00:00:00,25.99,26.06,26.06,25.99,2.69,5302.79,10.19,3.45,4.95,5080.75,6.11,8.15,5.18,95.81,25922.27,50.17,2.14,2234.71,50.37,-0.19,-0.38,0.19,1071.2325,13.854,2.0934,3.4124
2016-01-04 00:00:00,25.88,25.98,25.98,25.88,2.69,5303.99,10.19,3.45,4.95,5083.17,6.1,8.15,5.29,95.83,25922.27,49.74,2.21,2238.86,49.62,-0.18,-0.37,0.19,1074.61,13.8735,2.0795,3.4138
2016-01-05 00:00:00,25.78,25.89,25.89,25.78,2.69,5305.19,10.18,3.45,4.96,5085.59,6.09,8.14,5.4,95.86,25356.8,49.32,2.28,2243,48.86,-0.18,-0.36,0.18,1077.68,13.9865,2.0955,3.408
2016-01-06 00:00:00,25.29,25.36,25.36,25.29,2.69,5306.39,10.18,3.45,4.96,5088.01,6.09,8.13,5.51,95.88,25356.8,48.89,2.34,2242.67,45.97,-0.21,-0.36,0.15,1093.67,14.012,2.088,3.4053
2016-01-07 00:00:00,24.79,24.83,24.83,24.79,2.68,5307.59,10.18,3.45,4.96,5090.42,6.08,8.12,5.62,95.91,25356.8,48.46,2.41,2242.33,43.07,-0.24,-0.35,0.11,1108.97,14.308,2.022,3.4235
2016-01-08 00:00:00,24.3,24.3,24.3,24.3,2.68,5308.78,10.17,3.45,4.96,5092.84,6.07,8.12,5.73,95.93,24194.44,48.03,2.47,2242,40.18,-0.27,-0.35,0.07,1104.15,13.9375,2.022,3.425
2016-01-09 00:00:00,24,24.02,24.02,24,2.68,5309.98,10.17,3.45,4.97,5095.26,6.06,8.11,5.84,95.95,23961.45,47.6,2.54,2266.33,38.8,-0.32,-0.35,0.03,1100.8333,13.913,2.0055,3.4266
2016-01-10 00:00:00,23.71,23.73,23.73,23.7,2.68,5311.18,10.16,3.45,4.97,5097.68,6.05,8.1,5.95,95.98,23728.45,47.18,2.61,2290.67,37.42,-0.37,-0.36,-0.01,1097.5166,13.8884,1.989,3.4282
2016-01-11 00:00:00,23.41,23.45,23.45,23.4,2.68,5312.38,10.16,3.44,4.97,5100.09,6.04,8.09,6.06,96,23495.46,46.75,2.67,2315,36.03,-0.42,-0.36,-0.06,1094.2,13.8639,1.9725,3.4298
2016-01-12 00:00:00,23.27,23.27,23.27,23.27,2.67,5313.57,10.15,3.44,4.98,5102.51,6.03,8.09,6.17,96.02,23385.5,46.32,2.74,2419,35.42,-0.54,-0.4,-0.14,1086.56,13.781,1.959,3.4264
2016-01-13 00:00:00,22.94,22.94,22.94,22.94,2.67,5314.77,10.15,3.44,4.98,5104.93,6.02,8.08,6.28,96.05,23385.5,45.89,2.81,2419,33.98,-0.61,-0.42,-0.18,1093.59,14.1617,1.956,3.4297
2016-01-14 00:00:00,22.6,22.6,22.6,22.6,2.67,5315.97,10.15,3.44,4.98,5107.35,6.01,8.07,6.39,96.07,22859.3,45.47,2.87,2419,32.54,-0.68,-0.45,-0.23,1078.38,13.8415,1.976,3.421
2016-01-15 00:00:00,22.5,22.2,22.5,22.2,2.67,5317.17,10.14,3.44,4.99,5109.76,6,8.06,6.5,96.09,22780.76,45.04,2.94,2368,32.12,-0.79,-0.52,-0.27,1088.88,13.928,1.9435,3.4219
2016-01-16 00:00:00,22.47,22.34,22.58,22.24,2.66,5318.37,10.14,3.44,4.99,5112.18,5.99,8.06,6.61,96.12,22780.76,44.61,3,2396.75,31.97,-0.81,-0.54,-0.27,1089.1466,13.935,1.952,3.4258
2016-01-17 00:00:00,22.44,22.49,22.65,22.29,2.66,5319.56,10.13,3.44,4.99,5114.6,5.99,8.05,6.72,96.14,22780.76,44.18,3.07,2425.5,31.83,-0.83,-0.55,-0.28,1089.4133,13.942,1.9605,3.4296
2016-01-18 00:00:00,22.4,22.63,22.73,22.33,2.66,5320.76,10.13,3.44,4.99,5117.02,5.98,8.04,6.83,96.16,22780.76,43.76,3.14,2454.25,31.69,-0.85,-0.57,-0.28,1089.68,13.949,1.969,3.4335
2016-01-19 00:00:00,22.37,22.78,22.8,22.37,2.66,5321.96,10.12,3.44,5,5119.43,5.97,8.03,6.94,96.19,22678.66,43.33,3.2,2483,31.55,-0.87,-0.59,-0.28,1087.41,14.0268,1.9775,3.436
2016-01-20 00:00:00,22.69,22.75,22.9,22.55,2.66,5323.16,10.12,3.43,5,5121.85,5.96,8.03,7.05,96.21,22678.66,42.9,3.27,2852.5,34.45,-0.88,-0.62,-0.26,1100.92,14.153,1.9595,3.445
2016-01-21 00:00:00,23,22.72,23,22.72,2.65,5324.35,10.12,3.43,5,5124.27,5.95,8.02,7.16,96.23,23173.45,42.47,3.34,3222,37.35,-0.88,-0.65,-0.23,1101.2,14.0928,1.9965,3.4481
2016-01-22 00:00:00,23.5,23.7,23.7,23.5,2.65,5325.55,10.11,3.43,5.01,5126.69,5.94,8.01,7.27,96.26,23566.14,42.04,3.4,3242,41.58,-0.84,-0.69,-0.15,1097.95,14.0272,2.0025,3.4459
2016-01-23 00:00:00,23.43,23.57,23.57,23.43,2.65,5326.75,10.11,3.43,5.01,5129.1,5.93,8,7.38,96.28,23513.78,41.62,3.47,3226.33,41.19,-0.83,-0.69,-0.14,1101.2667,14.0972,2.001,3.4521
2016-01-24 00:00:00,23.37,23.43,23.43,23.37,2.65,5327.95,10.1,3.43,5.01,5131.52,5.92,8,7.49,96.3,23461.42,41.19,3.54,3210.67,40.8,-0.82,-0.7,-0.12,1104.5833,14.1672,1.9995,3.4584
2016-01-25 00:00:00,23.3,23.3,23.3,23.3,2.65,5329.15,10.1,3.43,5.02,5133.94,5.91,7.99,7.6,96.33,23409.06,40.76,3.6,3195,40.4,-0.81,-0.71,-0.1,1107.9,14.2372,1.998,3.4646
2016-01-26 00:00:00,25,24.28,25,24,2.64,5330.34,10.09,3.43,5.02,5136.36,5.9,7.98,7.71,96.35,24744.2,40.33,3.67,3188,52.66,-0.65,-0.7,0.05,1119.91,14.5045,2.0375,3.465
2016-01-27 00:00:00,24.9,24.9,24.9,24.9,2.64,5331.54,10.09,3.43,5.02,5138.77,5.89,7.97,7.82,96.38,24665.67,39.91,3.73,2378,51.98,-0.52,-0.66,0.15,1124.97,14.4823,2.064,3.465
2016-01-28 00:00:00,25.2,25.05,25.25,25.02,2.64,5332.74,10.09,3.43,5.02,5141.19,5.89,7.97,7.93,96.4,24665.67,39.48,3.8,2651,53.82,-0.44,-0.63,0.19,1115.33,14.2441,2.0555,3.465
2016-01-29 00:00:00,25.5,25.2,25.6,25.15,2.64,5333.94,10.08,3.42,5.03,5143.61,5.88,7.96,8.04,96.42,25136.89,39.05,3.87,2924,55.67,-0.36,-0.6,0.24,1118.21,14.26,2.0705,3.4709
2016-01-30 00:00:00,25.15,24.98,25.23,24.89,2.63,5335.13,10.08,3.42,5.03,5146.03,5.87,7.95,8.15,96.45,25136.89,38.62,3.93,2841.5,53.42,-0.36,-0.59,0.23,1121.61,14.2897,2.0667,3.475
2016-01-31 00:00:00,24.8,24.76,24.85,24.62,2.63,5336.33,10.07,3.42,5.03,5148.44,5.86,7.94,8.26,96.47,25136.89,38.2,4,2759,51.17,-0.35,-0.58,0.22,1125.01,14.3193,2.0628,3.4792
2016-02-01 00:00:00,24.45,24.54,24.48,24.36,2.63,5337.53,10.07,3.42,5.04,5150.86,5.85,7.93,8.37,96.49,25136.89,37.77,4.07,2676.5,48.92,-0.35,-0.56,0.21,1128.41,14.349,2.059,3.4833
2016-02-02 00:00:00,24.1,24.32,24.1,24.1,2.63,5338.73,10.07,3.42,5.04,5153.28,5.84,7.93,8.48,96.52,24037.37,37.34,4.13,2594,46.67,-0.35,-0.55,0.2,1129.01,14.305,2.0585,3.495
2016-02-03 00:00:00,24.8,24.1,24.8,24,2.63,5339.93,10.06,3.42,5.04,5155.7,5.83,7.92,8.59,96.54,24587.13,36.91,4.2,2839,50.94,-0.28,-0.5,0.22,1142.63,14.6845,2.0975,3.489
2016-02-04 00:00:00,26.4,26,27,26,2.62,5341.12,10.06,3.42,5.05,5158.12,5.82,7.91,8.7,96.56,25843.73,36.48,4.26,2881,59.01,-0.09,-0.41,0.33,1155.59,14.8575,2.134,3.4775
2016-02-05 00:00:00,26.5,26.4,26.77,26.4,2.62,5342.32,10.05,3.42,5.05,5160.53,5.81,7.9,8.81,96.59,25922.27,36.06,4.33,3362,59.46,0.07,-0.32,0.38,1173.4,15.0107,2.105,3.4805
2016-02-06 00:00:00,26.28,26.22,26.46,26.22,2.62,5343.52,10.05,3.41,5.05,5162.95,5.8,7.9,8.92,96.61,25752.1,35.63,4.4,3471.33,58.05,0.09,-0.29,0.38,1178.6766,15.1111,2.1005,3.4853
2016-02-07 00:00:00,26.07,26.03,26.16,26.03,2.62,5344.72,10.04,3.41,5.05,5165.37,5.79,7.89,9.03,96.63,25581.94,35.2,4.46,3580.67,56.64,0.11,-0.26,0.37,1183.9533,15.2116,2.096,3.4902
2016-02-08 00:00:00,25.85,25.85,25.85,25.85,2.62,5345.91,10.04,3.41,5.06,5167.79,5.79,7.88,9.14,96.66,25411.77,34.77,4.53,3690,55.23,0.14,-0.23,0.36,1189.23,15.312,2.0915,3.495
2016-02-09 00:00:00,24.7,25.47,24.7,24.7,2.61,5347.11,10.04,3.41,5.06,5170.2,5.78,7.87,9.25,96.68,24508.59,34.35,4.6,3578,48.63,0.1,-0.16,0.26,1189.13,15.2454,2.0415,3.503
2016-02-10 00:00:00,25.1,25.1,25.1,25.1,2.61,5348.31,10.03,3.41,5.06,5172.62,5.77,7.87,9.36,96.7,24822.74,33.92,4.66,3530,50.83,0.1,-0.11,0.21,1197.12,15.2725,2.029,3.5065
2016-02-11 00:00:00,25.35,25.35,25.35,25.35,2.61,5349.51,10.03,3.41,5.07,5175.04,5.76,7.86,9.47,96.73,24822.74,33.49,4.73,3520.5,52.17,0.11,-0.09,0.2,1246.7,15.7555,2.0085,3.515
2016-02-12 00:00:00,25.6,25.6,25.6,25.6,2.61,5350.71,10.02,3.41,5.07,5177.46,5.75,7.85,9.58,96.75,25215.43,33.06,4.8,3511,53.51,0.13,-0.06,0.2,1237.97,15.7497,2.031,3.5045
